Starting Adafruit TSL2591 Test!
Found a TSL2591 sensor
------------------------------------
Sensor:       TSL2591
Driver Ver:   1
Unique ID:    2591
Max Value:    88000.00 lux
Min Value:    0.00 lux
Resolution:   1.00 lux
------------------------------------

------------------------------------
Gain:         9876x (Max)
Timing:       100 ms
------------------------------------

[ 212099 ms ] IR: 44  Full: 125  Visible: 81  Lux: 0
[ 212722 ms ] IR: 43  Full: 121  Visible: 78  Lux: 0
[ 213345 ms ] IR: 43  Full: 122  Visible: 79  Lux: 0
[ 213968 ms ] IR: 44  Full: 136  Visible: 92  Lux: 0
[ 214591 ms ] IR: 38  Full: 146  Visible: 108  Lux: 0
[ 215215 ms ] IR: 40  Full: 145  Visible: 105  Lux: 0
[ 215837 ms ] IR: 39  Full: 144  Visible: 105  Lux: 0
[ 216461 ms ] IR: 39  Full: 158  Visible: 119  Lux: 0
[ 217083 ms ] IR: 52  Full: 147  Visible: 95  Lux: 0
[ 217707 ms ] IR: 40  Full: 159  Visible: 119  Lux: 0
[ 218330 ms ] IR: 52  Full: 152  Visible: 100  Lux: 0
[ 218953 ms ] IR: 41  Full: 182  Visible: 141  Lux: 0
[ 219576 ms ] IR: 58  Full: 184  Visible: 126  Lux: 0
[ 220199 ms ] IR: 58  Full: 205  Visible: 147  Lux: 0
[ 220822 ms ] IR: 62  Full: 209  Visible: 147  Lux: 0
[ 221446 ms ] IR: 64  Full: 207  Visible: 143  Lux: 0
[ 222068 ms ] IR: 61  Full: 209  Visible: 148  Lux: 0
[ 222691 ms ] IR: 63  Full: 215  Visible: 152  Lux: 0
[ 223314 ms ] IR: 65  Full: 221  Visible: 156  Lux: 0
[ 223938 ms ] IR: 66  Full: 222  Visible: 156  Lux: 0
[ 224561 ms ] IR: 67  Full: 217  Visible: 150  Lux: 0
[ 225183 ms ] IR: 66  Full: 213  Visible: 147  Lux: 0
[ 225807 ms ] IR: 54  Full: 222  Visible: 168  Lux: 0
